bzip2_level,shuffle,compressed_bytes,ratio,write_s,read_s
1,0,11114778,11.660,9.966,1.734
2,0,9639870,13.444,9.654,1.877
3,0,9639870,13.444,9.548,1.907
4,0,9639870,13.444,9.479,1.902
5,0,9639870,13.444,9.486,1.879
6,0,9639870,13.444,9.598,1.883
7,0,9639870,13.444,9.546,1.879
8,0,9639870,13.444,9.433,1.893
9,0,9639870,13.444,9.586,1.879
1,1,2955669,43.848,4.464,0.780
2,1,2955669,43.848,4.418,0.835
3,1,2955669,43.848,4.453,0.791
4,1,2955669,43.848,4.439,0.777
5,1,2955669,43.848,4.492,0.767
6,1,2955669,43.848,4.349,0.752
7,1,2955669,43.848,4.432,0.842
8,1,2955669,43.848,4.450,0.757
9,1,2955669,43.848,4.639,0.762
