deflate_level,shuffle,compressed_bytes,ratio,write_s,read_s
0,0,129655232,1.000,0.259,0.062
1,0,16961398,7.641,0.750,0.269
2,0,14602932,8.875,0.751,0.255
3,0,14162287,9.151,0.862,0.247
4,0,12440292,10.418,1.165,0.233
5,0,10800702,11.999,1.436,0.202
6,0,10008140,12.949,2.030,0.192
7,0,9734086,13.314,2.524,0.189
8,0,9674352,13.396,2.708,0.185
9,0,9674352,13.396,2.788,0.197
0,1,129655232,1.000,0.387,0.095
1,1,4577794,28.311,0.636,0.195
2,1,4224018,30.682,0.655,0.202
3,1,4134740,31.344,0.683,0.206
4,1,3404117,38.072,0.951,0.267
5,1,3105206,41.736,0.979,0.264
6,1,2550300,50.818,1.032,0.270
7,1,2522409,51.379,1.084,0.255
8,1,2476495,52.332,1.122,0.262
9,1,2465473,52.566,1.168,0.254
