zstd_level,shuffle,compressed_bytes,ratio,write_s,read_s
-7,0,28920427,4.481,0.216,0.075
-3,0,15684100,8.263,0.183,0.076
-1,0,12533558,10.340,0.196,0.071
0,0,10858550,11.935,0.258,0.079
1,0,10647521,12.172,0.206,0.079
3,0,10858550,11.935,0.258,0.080
6,0,8684979,14.922,0.686,0.073
9,0,8677778,14.935,0.801,0.067
12,0,8580505,15.104,2.243,0.071
15,0,6468351,20.036,6.657,0.076
19,0,6311108,20.535,29.576,0.078
22,0,6286496,20.616,122.724,0.078
-7,1,5621766,23.053,0.329,0.094
-3,1,4702106,27.562,0.347,0.098
-1,1,3494531,37.087,0.327,0.094
0,1,3039258,42.642,0.349,0.094
1,1,3240824,39.990,0.331,0.093
3,1,3039258,42.642,0.351,0.094
6,1,2103306,61.617,0.506,0.084
9,1,2001397,64.755,0.565,0.084
12,1,1923598,67.374,1.290,0.086
15,1,1525436,84.959,2.793,0.085
19,1,1460340,88.746,14.294,0.088
22,1,1449236,89.426,34.592,0.086
